name,transient_RA,transient_Dec,status,disc_date,spec_class,transient_z,host_photo_z
2019uwl,141.9479637,31.96839081,Ignore,11/25/19 0:00,,,0.020531935
2019unp,142.3974685,35.28974519,Ignore,11/25/19 0:00,,,0.109189365
2019ppi,133.8974766,49.16025876,Ignore,11/25/19 0:00,SN II,0.052,0.099173595
2019wcb,114.5032152,39.7074214,Ignore,11/26/19 0:00,,,0.104522569
2019wca,145.1920264,-8.478499964,Ignore,11/27/19 0:00,,,-99
2019zie,118.6804381,41.17830723,Ignore,11/26/19 0:00,,,0.238332862
2019vuz,112.3099862,42.07694402,Ignore,11/29/19 0:00,,,0.32851908
2019wby,114.2908815,42.20574549,Ignore,11/29/19 0:00,,,0.255165766
2019ubp,140.0740872,-2.784340335,Ignore,11/30/19 0:00,,,0.308692084
2019szh,147.1762096,-8.734391666,Ignore,11/30/19 0:00,SN Ia,0.047776,0.096121992
2019wcc,112.4003885,42.10815623,Ignore,11/26/19 0:00,,,0.10434266
2019unz,140.0345596,-4.223746328,Ignore,12/3/19 0:00,,,0.088599987
2019yui,141.1896489,-4.366145537,Ignore,12/3/19 0:00,,,0.040514971
2019wcf,140.301192,31.61724562,Ignore,12/4/19 0:00,,,0.048419358
2019uev,142.7064715,30.87184314,Ignore,12/4/19 0:00,,,0.062080077
2019wvg,128.228585,49.02885495,Ignore,12/10/19 0:00,,,0.112047575
2019cll,134.290111,-3.341527587,Ignore,12/12/19 0:00,,,-99
2019xbj,148.8127425,3.846365142,Ignore,12/20/19 0:00,,,0.132900471
2019zim,149.1625094,6.595217141,Ignore,12/20/19 0:00,,,0.183476795
2019wkf,173.0238478,13.3095,Ignore,12/24/19 0:00,,,0.088132859
2019zit,185.9862869,8.18787204,Ignore,12/24/19 0:00,,,0.078129364
2019yua,160.7899851,-1.256823648,Ignore,12/24/19 0:00,,,0.073324032
2019yub,187.472324,11.67523468,Ignore,12/24/19 15:08,,,0.069491902
2019yuc,160.5942623,-1.004348031,Ignore,12/24/19 0:00,,,0.084061905
2019ulo,133.2780151,-6.32966569,Ignore,12/24/19 0:00,,,0.021419269
2019zno,174.660766,13.69688378,Ignore,12/24/19 0:00,,,0.197085035
2019yue,145.0109891,-8.559569087,Ignore,12/24/19 0:00,,,-99
2019yuh,162.6844318,-4.15477768,Ignore,12/24/19 0:00,,,-99
2019yuf,173.3987917,10.98087675,Ignore,12/24/19 0:00,SN Ic,0.1,0.106920124
2019zio,157.5482846,-4.301193386,Ignore,12/24/19 0:00,,,-99
2019ziw,158.8944215,-1.657371372,Ignore,12/27/19 0:00,,,0.337345257
2019ytc,144.6357431,-10.17759068,Ignore,12/31/19 0:00,,,-99
2019yuj,160.3010966,-2.138911433,Ignore,12/27/19 0:00,,,0.115446294
2019zgp,55.23248773,-5.361981949,Ignore,12/29/19 0:00,,,0.217212507
2019zsy,187.0159275,8.458946951,Ignore,12/30/19 0:00,,,0.167095839
2019ziy,158.2604453,-0.700018067,Ignore,12/30/19 0:00,,,0.240637805
2019zix,161.7373509,-2.899352984,Ignore,12/30/19 0:00,,,0.514694
2019zha,154.3956892,-4.012472841,Ignore,12/31/19 0:00,,,-99
2019zfl,50.29589326,-1.008040955,Ignore,12/31/19 0:00,,,0.16072571
2019wka,48.66728091,-0.871311993,Ignore,1/1/20 0:00,SN Ia,0.04,0.158414904
2019zja,48.66012462,-1.340847566,Ignore,12/31/19 0:00,,,-99
2019aaax,154.9947307,-3.107074073,Ignore,12/31/19 0:00,,,0.357821614
2019zsz,48.07980272,-4.293986174,Ignore,12/31/19 0:00,,,0.069491902
2019uez,51.17253886,-0.68140906,Ignore,1/1/20 0:00,SN II,0.039,0.027278316
2019zcp,185.1907873,9.335421174,Ignore,1/1/20 0:00,,,0.325360708
2019ucc,49.64213533,-4.429428949,Ignore,1/1/20 0:00,,,-99
2019yiz,54.89459423,-5.281650349,Ignore,1/1/20 0:00,,,0.047592104
2019zqa,153.3030917,1.648056866,Ignore,1/1/20 0:00,,,0.106920124
2019zrf,161.3575269,-5.367436681,Ignore,1/2/20 0:00,,,-99
2019zre,170.5493045,9.979284309,Ignore,1/2/20 0:00,,,0.078129364
2019yjl,172.617645,10.26909231,Ignore,1/2/20 0:00,,,0.083948964
2019yih,136.8222846,-6.188904041,Ignore,1/2/20 0:00,,,0.236627857
2020fo,136.8706199,-7.315834307,Ignore,1/2/20 0:00,,,0.079470857
2020bct,133.8789564,1.313426947,Ignore,1/2/20 0:00,,,0.138747702
2020abw,153.2363642,6.787800266,Ignore,1/17/20 0:00,,,0.112047574
2020abm,151.6780045,3.175976231,Ignore,1/17/20 0:00,,,0.178963133
2020adc,162.7007528,-3.463971644,Ignore,1/17/20 0:00,,,0.195684937
2020pf,186.5195814,12.45990261,Ignore,1/18/20 0:00,SN Ia,0.095,0.125662099
2020agv,55.42483495,-3.922991417,Ignore,1/18/20 0:00,,,-99
2020oa,197.3727164,7.54537916,Ignore,1/19/20 0:00,,,0.130326123
2019yfu,191.4015103,1.183636643,Ignore,1/19/20 0:00,SN Ia,0.0845,0.096614507
2020bii,194.713203,6.509194012,Ignore,1/19/20 0:00,,,0.306815241
2020bte,196.2675719,4.7561551,Ignore,1/19/20 0:00,,,0.171422337
2020btd,193.0750066,5.469888998,Ignore,1/19/20 0:00,,,0.599006
2020btg,196.7240964,3.894338066,Ignore,1/19/20 0:00,,,0.333208527
2020alw,145.9203317,33.67903868,FollowupFinished,1/19/20 10:27,,,0.143632331
2020apu,190.3208126,8.953855223,Ignore,1/20/20 0:00,,,0.117033524
2020bso,183.9343622,12.12896634,Ignore,1/20/20 0:00,,,0.104552171
2020bsk,189.3564815,9.650360031,Ignore,1/20/20 0:00,,,0.10434266
2020ej,241.6963688,20.5380049,Ignore,1/20/20 0:00,SN II,0.03333,0.035616484
2020aly,208.0411706,32.43694467,Ignore,1/21/20 0:00,,,0.043324179
2020alz,200.7956899,34.86211684,Ignore,1/21/20 0:00,,,0.100181629
2020bta,203.4387805,35.14902124,Ignore,1/21/20 0:00,,,0.350014155
2020alx,174.646015,10.33729479,Ignore,1/21/20 0:00,,,0.178963133
2020grz,162.7628875,-3.928511111,Ignore,58:04.8,,,0.312003506
2020amc,160.8066191,-3.703726661,Ignore,1/21/20 0:00,,,0.102633897
2020amb,161.8900803,-4.025332771,Ignore,1/21/20 0:00,,,-99
2020bth,153.5897299,2.763680941,Ignore,1/21/20 0:00,,,0.159633567
2020akx,194.9128481,-5.096549965,Ignore,1/22/20 0:00,,,0.374540514
2020rw,194.0040013,-0.054387333,Ignore,1/22/20 0:00,,,0.097164738
2020anl,195.8501419,-3.500934743,Ignore,1/22/20 0:00,,,0.086033727
2020anm,193.1372246,-5.533001486,Ignore,1/22/20 0:00,,,-99
2020amg,204.9063658,30.80591921,Ignore,1/23/20 0:00,,,0.098449713
2020aov,180.8988889,21.13068952,Ignore,1/23/20 0:00,,,0.51358
2020apf,189.8223438,-1.507323396,Ignore,1/22/20 0:00,,,0.095807941
2020aot,195.8989962,5.442134179,Ignore,1/23/20 0:00,,,0.179468973
2019aaag,187.2620627,12.71832686,Ignore,1/23/20 0:00,,,0.212291685
2020aql,142.1421416,24.38195585,Ignore,1/22/20 0:00,,,0.07017098
2020aqn,187.7679519,7.975589804,Ignore,1/22/20 0:00,,,0.186223274
2020byd,152.6543556,7.00208522,Ignore,1/23/20 0:00,,,0.450577
2020bye,158.1284307,-4.150275781,Ignore,1/23/20 0:00,,,-99
2020bya,178.6399528,20.20321694,Ignore,1/23/20 0:00,,,0.120315701
2020ara,150.9172114,-11.82469397,Ignore,1/24/20 0:00,,,-99
2020byf,139.3722384,-6.125729484,Ignore,1/24/20 0:00,,,-99
2020byg,147.6116685,-8.312453721,Ignore,1/24/20 0:00,,,-99
2020awv,201.1570963,31.83219531,Ignore,1/25/20 0:00,,,0.230854463
2020aww,132.9706463,50.41140121,Ignore,1/25/20 0:00,,,0.087452337
2019zag,128.1940436,50.39161792,Ignore,1/25/20 0:00,,,0.096121992
2020aym,137.2370014,28.63286458,Ignore,1/26/20 0:00,,,0.19969719
