SNID,drop_MJD_1,drop_MJD_2,drop_MJD_3,drop_MJD_4,drop_MJD_5,drop_MJD_6,drop_MJD_7,drop_MJD_8,drop_MJD_9,drop_MJD_10,drop_MJD_11,drop_MJD_12
2019aafy,59494.490,
2019ppi,58955.214,
2019ubp,58781.464,58834.500,
2019yih,59295.290,
2019zsy,58966.310,
2020aafg,59048.461,59462.394,
2020aahb,58865.490,58869.480,58932.340,58961.260,58982.270,59174.529,
2020aaqn,59314.320,
2020aasl,59008.270,
2020aaur,58979.320,
2020aauu,59371.320,
2020aawu,58959.350,58966.310,59022.270,59048.270,59052.270,59530.533,
2020aawv,58898.461,59074.167,
2020aazk,59344.181,
2020abm,59531.630,
2020abka,59442.352,
2020aboe,59047.424,59100.420,59131.440,59156.370,59194.320,59392.510,59472.374,
2020absk,59219.500,
2020abul,58898.460,58995.247,58998.231,59017.234,59020.235,59047.280,59336.314,59339.253,59354.211,59368.212,59378.249,
2020abvg,59100.570,59428.580,59442.550,59447.560,59455.600,59458.510,59487.490
2020acbg,58961.260,59004.280,
2020acog,59216.394,
2020acop,58967.250,58969.260,58985.370,58992.340,59216.394,
2020acvi,59334.180,
2020acwz,59082.444,
2020acyu,59461.498,59463.511,
2020aczd,59513.480,
2020adb,58770.498,
2020adfl,58975.320,58975.330,58982.280,58989.280,58995.260,59008.270,59008.280,59014.270,
2020admo,59079.443,
2020advl,59017.234,59309.273,
2020aeqx,59403.280,
2020alx,58961.270,58986.290,
2020apf,59016.280,
2020aqm,59526.620,
2020awu,58789.518,
2020azn,58885.276,
2020dvl,58695.221,
2020dwg,58879.546,
2020esm,59043.232,
2020evt,58689.173,58695.221,
2020eyu,59179.508,
2020fap,59452.213,
2020fqv,58849.660,
2020hrw,59228.640,
2020icx,59520.467,
2020iga,58960.460,
2020igy,59201.559,59202.556,59230.547,59266.508,59266.526,
2020iir,59035.317,59075.233,
2020ika,58814.515,
2020iks,59228.630,
