,TransientName,transientRA,transientDEC,spec_class,spec_z,photo_z,best_z
0,2019uwl,141.947963736248,31.9683908143259,,,0.7189068539706909,0.7189068539706909
1,2019unp,142.397468478743,35.2897451936853,,,0.20600832638375932,0.20600832638375932
2,2019ppi,133.897476594381,49.160258764542704,SN II,0.052000000000000005,0.1916383338820093,0.052000000000000005
3,2019wcb,114.503215178099,39.7074214031787,,,0.15939959150993543,0.15939959150993543
4,2019wca,145.19202643176902,-8.47849996386702,,,0.25621497999557497,0.25621497999557497
5,2019zie,118.680438129786,41.1783072319826,,,0.18695742961103873,0.18695742961103873
6,2019vuz,112.309986227016,42.0769440240971,,,0.24810904651264165,0.24810904651264165
7,2019wby,114.290881529776,42.2057454946588,,,0.23330452603205873,0.23330452603205873
8,2019ubp,140.07408723325898,-2.78434033512367,,,0.3616774296065754,0.3616774296065754
9,2019szh,147.176209597641,-8.73439166611734,SN Ia,0.047776,0.052608037335739925,0.047776
10,2019wbw,150.679959653501,-8.64140678093683,,,0.13769038431518418,0.13769038431518418
11,2019wcc,112.400388547178,42.108156233702104,,,0.13089374689132136,0.13089374689132136
12,2019unz,140.034559562422,-4.2237463277402405,,,0.6012302272884054,0.6012302272884054
13,2019yui,141.189648864092,-4.36614553657763,,,0.12950141388598427,0.12950141388598427
14,2019wcf,140.30119202482598,31.6172456202016,,,0.17698018146215544,0.17698018146215544
15,2019uev,142.706471493176,30.871843135813602,,,0.059936187405865426,0.059936187405865426
16,2019wvg,128.228584953383,49.02885495280311,,,0.15828056644407387,0.15828056644407387
17,2019cll,134.29011095313,-3.3415275869700496,,,0.3781621396849981,0.3781621396849981
18,2019zim,149.162510088673,6.59521718788195,,,0.33528768876179166,0.33528768876179166
19,2019wkf,173.023847846057,13.3094999986049,,,0.3913014970821072,0.3913014970821072
20,2019ytn,145.546712064932,-11.938105552242101,,,0.21313074618545733,0.21313074618545733
21,2019zit,185.98628689627898,8.18787203979082,,,0.1722601664413459,0.1722601664413459
22,2019yua,160.78998506896002,-1.25682364794454,,,0.2107967155287866,0.2107967155287866
23,2019yub,187.472323957575,11.6752346768716,,,0.136689064298522,0.136689064298522
24,2019yuc,160.594259992427,-1.00435012397731,,,0.4757805224873096,0.4757805224873096
25,2019ulo,133.278015057248,-6.329665690492639,,,0.04074253146248373,0.04074253146248373
26,2019zno,174.660766022861,13.696883777664098,,,0.22820995161854218,0.22820995161854218
27,2019yue,145.010989121686,-8.559569086828411,,,0.3385449972723229,0.3385449972723229
28,2019yuf,173.398791686096,10.98087675181,SN Ic,0.1,0.5563851679056977,0.1
29,2019zio,157.548283664658,-4.30118987913794,,,0.31318218359459954,0.31318218359459954
30,2019ziw,158.894420578979,-1.6573748427051398,,,0.5499066375238938,0.5499066375238938
31,2019ytc,144.635743101825,-10.1775906838522,,,0.12112413063180245,0.12112413063180245
32,2019yuj,160.301096621104,-2.13891143321146,,,0.12139916520373548,0.12139916520373548
33,2019zsy,187.015927480065,8.45894695144656,,,0.2549670103350008,0.2549670103350008
34,2019zix,161.73735094519,-2.8993529843444903,,,0.48143568496485245,0.48143568496485245
35,2019zha,154.395689151511,-4.01247284059971,,,0.1833014316499095,0.1833014316499095
36,2019zfl,50.2958932575698,-1.0080409550224498,,,0.3064821697793667,0.3064821697793667
37,2019wka,48.66728090851171,-0.871311993151726,SN Ia,0.04,0.3511897536736851,0.04
38,2019zja,48.660124623578206,-1.34084756645192,,,0.02222584603376683,0.02222584603376683
39,2019aaax,154.994730695321,-3.10707407312229,,,0.3309388374172748,0.3309388374172748
