filename,redshift,MWEBV,type,host_photo_z
2020eyx,,0.041,,0.0592221206065491
2020cwg,,0.026,,0.0294927703600728
2020fuq,,0.01,,0.0746686988466844
2020ewx,0.06,0.034,SN Ia,0.109260033086088
2020fhs,0.01438,0.031,SN Ia,0.0258201369578619
2020fwx,,0.043,,0.239724556580469
2020fxe,,0.024,,0.0959162013381489
2020gkw,,0.052,,0.082301163614696
2020has,,0.028,,0.0970965440621284
2020her,,0.072,,0.118225592724938
2020hmc,,0.035,,0.364188827886436
2020hra,,0.032,,0.335868293512962
2020epi,0.024,0.021,SN Ic,0.0344429214169474
2020itv,,0.015,,0.093297555602203
2020hrd,,0.071,,
2020hmj,,0.091,,0.100128987482761
2020kiq,,0.037,,0.633937
2020hrb,,0.028,,0.30714167435361
2020hif,,0.01,,0.314405
2020heg,,0.013,,0.108872768921876
2020kit,,0.014,,0.237612180481775
2020iuv,,0.012,,0.103348229255088
2020iuu,,0.012,,0.3234692585915
2020itz,,0.016,,0.32387642196961
2020hap,,0.032,,0.165745504718408
2020itx,,0.022,,0.201203302005884
2020hug,,0.035,,0.0404005164650243
2020iuy,,0.022,,0.135358541809838
2020iul,,0.035,,0.104451709935991
2020iwl,,0.009,,0.0140177985941688
2020ius,,0.021,,0.348150370253001
2020iuq,,0.027,,0.0927374344220034
2020ivq,,0.034,,0.0871705638040927
2020ivd,,0.034,,0.186511585963316
2020iuz,,0.042,,0.150206598651487
2020iwj,,0.012,,0.100442473127778
2020iwi,,0.01,,0.0997106425637049
2020hep,,0.033,,0.0997744294782294
2020ivf,,0.04,,0.199286005975192
2020ive,,0.044,,0.103874835283317
2020ivl,,0.035,,0.0858637974883222
2020ivw,,0.031,,0.0547135032806125
2020ivj,,0.031,,0.118981329773958
2020knn,,0.027,,0.37990680164883
2020kir,,0.078,,
2020fwj,,0.164,,
2020iqy,,0.076,,
2020knx,,0.031,,
2020gll,,0.045,,0.114647894722553
2020fla,,0.012,,0.185530345741019
2020hpu,,0.01,,0.183455331053033
2020hik,,0.024,,0.0681906332868636
2020hro,,0.046,,0.0773375573271689
2020glj,,0.039,,0.0914734993988695
2020fza,,0.049,,0.0681906332868636
2019igc,,0.09,,0.0996908948329306
2020iwv,,0.008,,0.0146583209449374
2020iri,,0.023,,0.061430990997228
2020igh,,0.027,,0.0692844036872601
2020iqk,,0.017,,0.128935523824601
2020iqr,,0.012,,0.12181841565831
2020irh,,0.026,,0.171556335456677
2020knw,,0.151,,0.356014176030176
2020kns,,0.009,,0.322020327805368
2020knu,,0.02,,0.249506187893782
2020irx,,0.028,,0.176823247021392
2020iqc,,0.021,,0.121263867226254
2020irb,,0.034,,0.207925260734919
2020irg,,0.021,,0.208250102985567
2020irn,,0.02,,0.299907980464726
2020iqp,,0.028,,0.169052334531441
2020ixj,,0.016,,0.561924
2020imm,,0.022,,0.009346008711595
2020koa,,0.018,,0.232636129969093
2020koi,,0.025,,
2020imp,,0.034,,0.155218648617248
2020kpk,,0.032,,
2020koh,,0.022,,0.092088298652903
2020ims,,0.02,,0.319039773380373
2020imk,,0.043,,0.163243602707946
2020inh,,0.024,,0.0944881222344026
2020ixm,,0.018,,0.390802422875259
2020ixk,,0.043,,0.465333
2020kpm,,0.029,,0.169616
2020imf,,0.022,,0.151657820534531
2020imh,,0.011,,0.199421268926414
2020kpp,,0.066,,
2020kpv,,0.027,,0.246178
2020hjv,,0.01,,0.0878351585913725
2020hwk,,0.035,,0.139371177240828
2020hdf,,0.018,,0.302050795176944
2020hfm,,0.036,,0.132993200111818
2020hci,,0.035,,0.195425236986619
2020hju,,0.016,,0.179010705258733
2020hwu,,0.039,,
2020icp,,0.038,,0.00960519969399049
2020jyp,,0.04,,0.464017
2019aacq,,0.036,,
2020hxi,,0.033,,0.342549161125114
2019aacp,,0.017,,0.369265427892111
