filename,redshift,MWEBV,type,host_photo_z
2019uwl,,0.016,,0.0205319352349477
2019unp,,0.013,,
2019ppi,0.052,0.021,SN II,0.0991735950001533
2019wcb,,0.044,,
2019wca,,0.03,,
2019zie,,0.034,,
2019vuz,,0.054,,
2019wby,,0.043,,
2019ubp,,0.031,,0.308692084447386
2019szh,0.047776,0.028,SN Ia,0.0961219923145304
2019wbw,,0.061,,
2019wcc,,0.05,,
2019unz,,0.028,,
2019yui,,0.033,,
2019wcf,,0.016,,
2019uev,,0.019,,
2019wvg,,0.033,,
2019cll,,0.013,,
2019xbj,,0.037,,0.13290047052811
2019zim,,0.025,,
2019wkf,,0.038,,
2019ytn,,0.038,,
2019zit,,0.019,,
2019yua,,0.047,,
2019yub,,0.031,,
2019yuc,,0.045,,
2019ulo,,0.02,,
2019zno,,0.029,,
2019yue,,0.029,,
2019yuh,,0.033,,
2019yuf,0.1,0.023,SN Ic,
2019zio,,0.035,,
2019ziw,,0.055,,
2019ytc,,0.043,,
2019yuj,,0.055,,
2019zgp,,0.044,,0.217212507003047
2019zsy,,0.017,,
2019ziy,,0.058,,0.240637805338097
2019zix,,0.034,,
2019zha,,0.037,,
2019zfl,,0.064,,
2019wka,0.04,0.058,SN Ia,0.15841490411502
2019zja,,0.065,,
2019aaax,,0.036,,
2019zsz,,0.081,,0.0694919015708397
2019uez,0.039,0.093,SN II,0.0272783155231796
2019zcp,,0.021,,
2019ucc,,0.041,,
2019yiz,,0.042,,0.047592104009238
2019zqa,,0.04,,
2019zrf,,0.034,,
2019zre,,0.025,,
2019yjl,,0.03,,0.083948963974413
2019yih,,0.024,,
2020fo,,0.046,,
2020bct,,0.041,,0.138747702337622
2020abw,,0.02,,
2020abm,,0.018,,
2020adc,,0.032,,
2020pf,0.095,0.027,SN Ia,
2020agv,,0.057,,
2020oa,,0.026,,
2019yfu,0.0845,0.017,SN Ia,0.0966145070583519
2020bii,,0.026,,
2020bte,,0.028,,0.17142233669273
2020btd,,0.023,,0.599006
2020btg,,0.024,,
2020alw,,0.012,,
2020apu,,0.021,,
2020bso,,0.026,,
2020bsk,,0.019,,
2020ej,0.03333,0.065,SN II,0.0356164841782661
2020aly,,0.011,,
2020alz,,0.008,,
2020bta,,0.01,,
2020alx,,0.037,,
2020grz,,0.03,,
2020amc,,0.05,,
2020amb,,0.036,,
2020bth,,0.032,,
