SURVEY:  PS1MD
SNID:  2020sxs
otherID: 
IAUC:    UNKNOWN
RA:        66.9089570  deg
DECL:       -23.1002510  deg
MWEBV:    0.042 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sxs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.200 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 79
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59080.61 g NULL  27.899 49.823 23.886 1.939 0x00
OBS: 59101.63 g NULL  747.079 63.362 20.317 0.092 0x00
OBS: 59105.61 g NULL  615.686 80.559 20.527 0.142 0x00
OBS: 59109.62 g NULL  482.189 55.960 20.792 0.126 0x00
OBS: 59114.62 g NULL  323.581 48.575 21.225 0.163 0x00
OBS: 59134.55 g NULL  227.534 86.017 21.607 0.410 0x00
OBS: 59138.53 g NULL  -0.254 65.618 nan -280.488 0x00
OBS: 59142.54 g NULL  18.439 35.932 24.336 2.116 0x00
OBS: 59145.53 g NULL  -11.569 46.211 nan -4.337 0x00
OBS: 59147.49 g NULL  86.990 60.850 22.651 0.759 0x01
OBS: 59161.45 g NULL  43.640 72.458 23.400 1.803 0x00
OBS: 59167.46 g NULL  -190.008 86.869 nan -0.496 0x00
OBS: 59191.41 g NULL  -4.446 34.363 nan -8.392 0x00
OBS: 59193.42 g NULL  -36.409 40.530 nan -1.209 0x01
OBS: 59198.37 g NULL  -8.873 177.651 nan -21.738 0x00
OBS: 59486.60 g NULL  -27.806 80.860 nan -3.157 0x00
OBS: 59492.56 g NULL  53.301 88.812 23.183 1.809 0x00
OBS: 59500.59 g NULL  -29.904 65.918 nan -2.393 0x00
OBS: 59524.49 g NULL  -65.244 67.871 nan -1.129 0x00
OBS: 59527.50 g NULL  57.577 78.447 23.099 1.479 0x01
OBS: 59531.46 g NULL  493.917 443.239 20.766 0.974 0x00
OBS: 59077.61 r NULL  -12.216 50.744 nan -4.510 0x01
OBS: 59091.62 r NULL  539.016 79.308 20.671 0.160 0x00
OBS: 59097.62 r NULL  795.502 83.390 20.248 0.114 0x00
OBS: 59099.62 r NULL  989.725 99.740 20.011 0.109 0x00
OBS: 59109.62 r NULL  655.867 45.881 20.458 0.076 0x00
OBS: 59118.56 r NULL  335.129 80.401 21.187 0.260 0x00
OBS: 59121.61 r NULL  363.629 58.474 21.098 0.175 0x00
OBS: 59125.55 r NULL  379.778 116.488 21.051 0.333 0x00
OBS: 59129.63 r NULL  169.455 108.624 21.927 0.696 0x00
OBS: 59134.56 r NULL  226.786 64.445 21.611 0.309 0x00
OBS: 59142.54 r NULL  67.308 40.791 22.930 0.658 0x00
OBS: 59153.45 r NULL  180.943 118.601 21.856 0.712 0x00
OBS: 59167.46 r NULL  0.948 73.678 27.558 84.383 0x00
OBS: 59180.47 r NULL  -147.481 109.131 nan -0.803 0x00
OBS: 59182.42 r NULL  31.721 136.268 23.747 4.664 0x01
OBS: 59187.43 r NULL  -13.742 99.952 nan -7.897 0x00
OBS: 59189.37 r NULL  118.225 59.999 22.318 0.551 0x00
OBS: 59198.37 r NULL  366.237 216.326 21.091 0.641 0x00
OBS: 59476.62 r NULL  -117.956 96.854 nan -0.892 0x00
OBS: 59479.61 r NULL  44.814 81.032 23.371 1.963 0x00
OBS: 59480.59 r NULL  -17.570 76.306 nan -4.715 0x00
OBS: 59481.57 r NULL  -63.363 214.079 nan -3.668 0x00
OBS: 59483.60 r NULL  -0.005 93.821 nan -20372.971 0x00
OBS: 59504.49 r NULL  475.454 230.683 20.807 0.527 0x00
OBS: 59505.53 r NULL  -88.214 115.099 nan -1.417 0x00
