SURVEY:  PS1MD
SNID:  2021lrj
otherID: 
IAUC:    UNKNOWN
RA:        310.9001310  deg
DECL:       -3.5092960  deg
MWEBV:    0.051 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lrj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0025
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.693 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 150
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -58.223 60.991 nan -1.137 0x00
OBS: 59017.50 g NULL  37.353 56.936 23.569 1.655 0x00
OBS: 59021.54 g NULL  25.992 50.243 23.963 2.099 0x00
OBS: 59022.53 g NULL  -51.117 49.993 nan -1.062 0x00
OBS: 59027.51 g NULL  -110.906 60.028 nan -0.588 0x01
OBS: 59029.45 g NULL  42.986 59.157 23.417 1.494 0x00
OBS: 59046.52 g NULL  653.541 405.021 20.462 0.673 0x00
OBS: 59049.47 g NULL  -113.543 92.135 nan -0.881 0x00
OBS: 59055.44 g NULL  47.919 37.230 23.299 0.844 0x00
OBS: 59075.36 g NULL  -58.710 34.503 nan -0.638 0x01
OBS: 59078.40 g NULL  -9.153 47.066 nan -5.583 0x00
OBS: 59082.42 g NULL  -70.163 57.859 nan -0.895 0x00
OBS: 59083.40 g NULL  -11.831 68.038 nan -6.244 0x00
OBS: 59110.30 g NULL  -131.894 55.058 nan -0.453 0x00
OBS: 59132.23 g NULL  -141.703 75.251 nan -0.577 0x00
OBS: 59137.23 g NULL  14.518 42.134 24.595 3.151 0x00
OBS: 59139.23 g NULL  68.837 71.849 22.905 1.133 0x00
OBS: 59143.26 g NULL  -50.990 129.285 nan -2.753 0x01
OBS: 59163.25 g NULL  1.895 102.808 26.806 58.904 0x00
OBS: 59167.21 g NULL  320.972 159.938 21.234 0.541 0x01
OBS: 59342.60 g NULL  730.769 64.651 20.341 0.096 0x00
OBS: 59345.60 g NULL  564.716 59.629 20.620 0.115 0x00
OBS: 59351.59 g NULL  324.180 81.683 21.223 0.274 0x00
OBS: 59369.54 g NULL  164.104 119.897 21.962 0.793 0x00
OBS: 59370.57 g NULL  18.127 93.322 24.354 5.590 0x00
OBS: 59379.50 g NULL  27.249 51.365 23.912 2.047 0x00
OBS: 59381.57 g NULL  -25.992 57.254 nan -2.392 0x01
OBS: 59409.44 g NULL  249.935 111.219 21.505 0.483 0x01
OBS: 59413.44 g NULL  -83.083 96.367 nan -1.259 0x00
OBS: 59426.39 g NULL  14.051 44.982 24.631 3.476 0x00
OBS: 59429.41 g NULL  -89.862 79.793 nan -0.964 0x09
OBS: 59432.44 g NULL  114.846 56.752 22.350 0.537 0x00
OBS: 59436.33 g NULL  59.930 52.772 23.056 0.956 0x00
OBS: 59439.41 g NULL  66.113 106.446 22.949 1.748 0x00
