SURVEY:  PS1MD
SNID:  2021nue
otherID: 
IAUC:    UNKNOWN
RA:        324.0417170  deg
DECL:       10.6328140  deg
MWEBV:    0.067 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021nue.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.339 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 58
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58998.57 g NULL  -20.235 38.951 nan -2.090 0x00
OBS: 59053.52 g NULL  -14.552 83.533 nan -6.232 0x01
OBS: 59103.38 g NULL  50.658 36.830 23.238 0.789 0x00
OBS: 59133.32 g NULL  161.088 71.911 21.982 0.485 0x00
OBS: 59137.23 g NULL  30.581 53.527 23.786 1.900 0x01
OBS: 59144.29 g NULL  88.948 91.672 22.627 1.119 0x00
OBS: 59161.24 g NULL  -41.050 71.129 nan -1.881 0x00
OBS: 59170.22 g NULL  -81.594 100.092 nan -1.332 0x01
OBS: 59373.59 g NULL  2585.948 75.876 18.968 0.032 0x00
OBS: 59406.47 g NULL  1383.138 72.975 19.648 0.057 0x00
OBS: 59425.41 g NULL  1036.490 78.290 19.961 0.082 0x00
OBS: 59433.38 g NULL  1112.911 85.193 19.884 0.083 0x00
OBS: 59434.51 g NULL  1129.658 47.354 19.868 0.046 0x00
OBS: 59442.38 g NULL  1048.382 67.506 19.949 0.070 0x00
OBS: 59462.42 g NULL  633.353 73.879 20.496 0.127 0x00
OBS: 59466.42 g NULL  740.031 72.511 20.327 0.106 0x00
OBS: 59488.27 g NULL  207.691 62.996 21.706 0.329 0x01
OBS: 59493.22 g NULL  34.299 60.576 23.662 1.918 0x00
OBS: 59515.28 g NULL  -5.528 45.656 nan -8.967 0x00
OBS: 59517.27 g NULL  49.964 35.700 23.253 0.776 0x00
OBS: 59525.26 g NULL  84.735 94.195 22.680 1.207 0x00
OBS: 58998.57 r NULL  30.017 36.055 23.807 1.304 0x00
OBS: 59032.51 r NULL  -116.674 96.072 nan -0.894 0x00
OBS: 59036.58 r NULL  2.459 107.587 26.523 47.503 0x01
OBS: 59041.55 r NULL  95.374 59.583 22.551 0.678 0x00
OBS: 59096.42 r NULL  41.742 53.775 23.449 1.399 0x00
OBS: 59137.24 r NULL  112.422 48.532 22.373 0.469 0x00
OBS: 59153.26 r NULL  26.660 85.942 23.935 3.500 0x00
OBS: 59157.35 r NULL  -14.926 72.215 nan -5.253 0x00
OBS: 59183.30 r NULL  292.005 235.760 21.337 0.877 0x00
OBS: 59373.59 r NULL  2942.489 69.205 18.828 0.026 0x00
OBS: 59406.46 r NULL  2556.283 83.392 18.981 0.035 0x00
OBS: 59415.42 r NULL  2420.464 65.305 19.040 0.029 0x00
OBS: 59434.51 r NULL  2332.939 66.112 19.080 0.031 0x00
OBS: 59451.32 r NULL  2030.473 142.593 19.231 0.076 0x00
OBS: 59462.42 r NULL  1798.868 84.827 19.363 0.051 0x00
OBS: 59484.23 r NULL  893.862 98.682 20.122 0.120 0x00
OBS: 59506.34 r NULL  438.098 96.538 20.896 0.239 0x00
OBS: 59509.33 r NULL  493.971 121.370 20.766 0.267 0x00
OBS: 59041.56 i NULL  38.153 80.807 23.546 2.300 0x00
OBS: 59103.39 i NULL  45.652 74.651 23.351 1.775 0x09
OBS: 59111.30 i NULL  -294.876 518.091 nan -1.908 0x00
OBS: 59144.29 i NULL  -83.664 104.892 nan -1.361 0x00
OBS: 59153.26 i NULL  -90.179 75.291 nan -0.906 0x00
OBS: 59157.36 i NULL  -28.309 58.915 nan -2.260 0x00
OBS: 59161.23 i NULL  -5.090 65.481 nan -13.968 0x00
OBS: 59170.22 i NULL  40.410 114.094 23.484 3.065 0x01
OBS: 59433.38 i NULL  2569.574 83.896 18.975 0.035 0x00
OBS: 59466.42 i NULL  1861.507 81.735 19.325 0.048 0x00
OBS: 59488.27 i NULL  943.806 96.834 20.063 0.111 0x09
OBS: 59493.22 i NULL  463.304 75.676 20.835 0.177 0x00
OBS: 59506.34 i NULL  486.017 84.288 20.783 0.188 0x00
OBS: 59511.28 i NULL  395.757 85.642 21.006 0.235 0x00
OBS: 59517.26 i NULL  703.528 80.617 20.382 0.124 0x00
OBS: 59525.26 i NULL  472.003 66.022 20.815 0.152 0x00
OBS: 59032.51 z NULL  -75.968 172.943 nan -2.472 0x00
OBS: 59036.58 z NULL  33.527 94.771 23.687 3.069 0x00
OBS: 59096.43 z NULL  -3.018 85.281 nan -30.680 0x00
OBS: 59133.33 z NULL  14.262 124.209 24.615 9.456 0x00
OBS: 59183.31 z NULL  -13.821 272.934 nan -21.441 0x00
OBS: 59415.41 z NULL  2383.678 125.290 19.057 0.057 0x00
OBS: 59425.41 z NULL  2310.960 105.544 19.091 0.050 0x00
OBS: 59442.38 z NULL  2429.971 91.000 19.036 0.041 0x00
OBS: 59451.33 z NULL  2438.029 199.550 19.032 0.089 0x00
OBS: 59484.24 z NULL  1236.664 170.373 19.769 0.150 0x01
OBS: 59509.33 z NULL  775.455 203.511 20.276 0.285 0x00
OBS: 59515.28 z NULL  11.941 130.245 24.807 11.843 0x00
END:
