SURVEY:  PS1MD
SNID:  2020ivg
otherID: 
IAUC:    UNKNOWN
RA:        224.4416250  deg
DECL:       41.2383280  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0530 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59009.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ivg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.867 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 156
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  21.671 51.724 24.160 2.591 0x00
OBS: 58873.62 g NULL  37.466 50.198 23.566 1.455 0x00
OBS: 58929.54 g NULL  21.281 51.500 24.180 2.627 0x00
OBS: 58933.51 g NULL  152.396 100.083 22.043 0.713 0x00
OBS: 58958.52 g NULL  534.552 45.758 20.680 0.093 0x00
OBS: 58960.46 g NULL  457.365 52.645 20.849 0.125 0x00
OBS: 58965.49 g NULL  565.942 86.756 20.618 0.166 0x01
OBS: 58969.38 g NULL  788.106 127.918 20.259 0.176 0x00
OBS: 58971.41 g NULL  871.705 72.441 20.149 0.090 0x00
OBS: 58972.43 g NULL  1082.552 119.770 19.914 0.120 0x00
OBS: 58982.46 g NULL  617.178 73.536 20.524 0.129 0x01
OBS: 58984.29 g NULL  497.615 47.733 20.758 0.104 0x01
OBS: 58987.39 g NULL  353.617 64.759 21.129 0.199 0x00
OBS: 58992.29 g NULL  208.829 34.398 21.701 0.179 0x00
OBS: 58999.37 g NULL  155.990 52.631 22.017 0.366 0x00
OBS: 59014.42 g NULL  136.804 59.772 22.160 0.474 0x00
OBS: 59017.29 g NULL  161.455 39.344 21.980 0.265 0x00
OBS: 59021.29 g NULL  171.692 33.096 21.913 0.209 0x00
