SURVEY:  PS1MD
SNID:  2021acfu
otherID: 
IAUC:    UNKNOWN
RA:        335.7297620  deg
DECL:       0.5271310  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021acfu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0192
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.561 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 64
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59029.46 g NULL  62.418 66.471 23.012 1.156 0x00
OBS: 59076.47 g NULL  -14.911 56.890 nan -4.142 0x00
OBS: 59103.38 g NULL  60.530 45.722 23.045 0.820 0x00
OBS: 59105.37 g NULL  37.619 48.638 23.561 1.404 0x01
OBS: 59115.35 g NULL  60.623 53.839 23.043 0.964 0x00
OBS: 59136.30 g NULL  -44.482 80.538 nan -1.966 0x00
OBS: 59166.22 g NULL  148.537 88.160 22.070 0.644 0x00
OBS: 59170.21 g NULL  75.741 84.818 22.802 1.216 0x00
OBS: 59346.60 g NULL  146.630 83.233 22.084 0.616 0x00
OBS: 59350.60 g NULL  -73.461 105.161 nan -1.554 0x00
OBS: 59353.58 g NULL  -105.460 65.211 nan -0.671 0x00
OBS: 59354.59 g NULL  -92.200 69.356 nan -0.817 0x00
OBS: 59355.59 g NULL  -71.903 73.283 nan -1.107 0x00
OBS: 59371.56 g NULL  -47.053 65.893 nan -1.520 0x00
OBS: 59374.58 g NULL  -27.620 84.462 nan -3.320 0x00
OBS: 59377.56 g NULL  -81.930 53.250 nan -0.706 0x00
OBS: 59380.56 g NULL  -49.723 72.836 nan -1.590 0x00
OBS: 59398.52 g NULL  -129.464 81.466 nan -0.683 0x00
OBS: 59399.46 g NULL  -55.652 71.604 nan -1.397 0x00
OBS: 59409.44 g NULL  -51.094 101.225 nan -2.151 0x00
OBS: 59425.42 g NULL  -49.236 72.355 nan -1.596 0x00
OBS: 59430.48 g NULL  8.173 58.285 25.219 7.743 0x00
OBS: 59433.38 g NULL  -17.179 59.896 nan -3.786 0x00
OBS: 59469.29 g NULL  -27.824 85.580 nan -3.339 0x00
OBS: 59036.57 r NULL  95.789 90.563 22.547 1.027 0x00
OBS: 59097.41 r NULL  42.990 98.376 23.417 2.485 0x00
OBS: 59130.31 r NULL  54.118 49.684 23.167 0.997 0x00
OBS: 59159.24 r NULL  174.430 704.205 21.896 4.383 0x00
OBS: 59166.21 r NULL  -84.759 93.381 nan -1.196 0x00
OBS: 59346.60 r NULL  38.207 49.964 23.545 1.420 0x00
OBS: 59356.58 r NULL  99.473 61.778 22.506 0.674 0x01
OBS: 59357.60 r NULL  -13.625 62.193 nan -4.956 0x00
OBS: 59358.60 r NULL  -42.290 50.229 nan -1.290 0x00
