SURVEY:  PS1MD
SNID:  2020jhs
otherID: 
IAUC:    UNKNOWN
RA:        142.0587080  deg
DECL:       25.6703690  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0650 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jhs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.572 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 76
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.44 g NULL  -154.079 68.702 nan -0.484 0x00
OBS: 58880.42 g NULL  -71.445 97.053 nan -1.475 0x00
OBS: 58930.24 g NULL  -82.486 67.791 nan -0.892 0x00
OBS: 58957.30 g NULL  -17.050 75.519 nan -4.809 0x00
OBS: 58961.28 g NULL  15.906 41.009 24.496 2.799 0x00
OBS: 58984.26 g NULL  4093.678 78.981 18.470 0.021 0x00
OBS: 58987.26 g NULL  4660.015 94.138 18.329 0.022 0x00
OBS: 58989.27 g NULL  5005.566 106.750 18.251 0.023 0x00
OBS: 59175.61 g NULL  3094.886 130.427 18.773 0.046 0x00
OBS: 59192.64 g NULL  2976.302 82.004 18.816 0.030 0x00
OBS: 59195.53 g NULL  2654.428 106.960 18.940 0.044 0x00
OBS: 59204.65 g NULL  2847.677 135.525 18.864 0.052 0x01
OBS: 59219.44 g NULL  2641.792 71.465 18.945 0.029 0x00
OBS: 59221.47 g NULL  2568.996 69.559 18.976 0.029 0x00
OBS: 59223.42 g NULL  2583.300 82.809 18.970 0.035 0x00
OBS: 59228.62 g NULL  2384.518 99.694 19.056 0.045 0x00
OBS: 59235.52 g NULL  2158.383 153.121 19.165 0.077 0x00
OBS: 59253.51 g NULL  2204.361 92.382 19.142 0.046 0x00
OBS: 59257.51 g NULL  2093.439 73.800 19.198 0.038 0x00
OBS: 59278.46 g NULL  1357.812 275.040 19.668 0.220 0x00
OBS: 59291.43 g NULL  1686.927 61.516 19.432 0.040 0x00
OBS: 59314.32 g NULL  1538.175 69.705 19.532 0.049 0x00
OBS: 59318.32 g NULL  1515.003 69.993 19.549 0.050 0x00
OBS: 59530.62 g NULL  474.982 65.474 20.808 0.150 0x00
OBS: 58884.49 r NULL  28.923 66.310 23.847 2.489 0x00
OBS: 58930.24 r NULL  -20.942 58.837 nan -3.050 0x00
OBS: 58934.25 r NULL  -286.381 128.695 nan -0.488 0x00
OBS: 58947.34 r NULL  54.286 150.801 23.163 3.016 0x00
OBS: 58961.27 r NULL  -27.473 38.976 nan -1.540 0x00
OBS: 58973.25 r NULL  405.465 85.591 20.980 0.229 0x00
OBS: 58974.30 r NULL  837.420 107.322 20.193 0.139 0x00
OBS: 58976.36 r NULL  799.425 324.743 20.243 0.441 0x00
OBS: 58987.26 r NULL  3978.458 95.321 18.501 0.026 0x00
OBS: 59180.52 r NULL  4473.523 105.836 18.373 0.026 0x00
OBS: 59184.55 r NULL  4453.812 105.655 18.378 0.026 0x00
OBS: 59207.46 r NULL  3886.973 74.831 18.526 0.021 0x00
OBS: 59209.45 r NULL  3768.943 131.960 18.559 0.038 0x00
OBS: 59212.47 r NULL  3809.270 99.365 18.548 0.028 0x00
OBS: 59228.62 r NULL  3608.590 111.112 18.607 0.033 0x00
OBS: 59246.36 r NULL  3362.019 168.871 18.683 0.055 0x00
OBS: 59253.52 r NULL  3278.514 88.461 18.711 0.029 0x00
OBS: 59291.43 r NULL  2681.592 67.080 18.929 0.027 0x00
OBS: 59303.34 r NULL  2448.528 130.252 19.028 0.058 0x00
OBS: 59306.40 r NULL  2429.670 83.026 19.036 0.037 0x00
OBS: 59314.32 r NULL  2307.679 63.080 19.092 0.030 0x00
OBS: 58867.44 i NULL  76.340 67.817 22.793 0.965 0x00
OBS: 58878.43 i NULL  -153.868 86.146 nan -0.608 0x00
OBS: 58880.42 i NULL  159.436 138.783 21.994 0.945 0x00
OBS: 58884.49 i NULL  111.013 132.251 22.387 1.293 0x00
OBS: 58919.41 i NULL  -37.793 112.654 nan -3.236 0x00
OBS: 58957.31 i NULL  -27.937 87.785 nan -3.412 0x00
OBS: 58966.30 i NULL  60.330 60.463 23.049 1.088 0x00
OBS: 58973.26 i NULL  817.925 88.860 20.218 0.118 0x00
OBS: 58973.26 i NULL  644.947 78.660 20.476 0.132 0x00
OBS: 58976.37 i NULL  1377.105 208.313 19.653 0.164 0x00
OBS: 58989.27 i NULL  5124.453 97.104 18.226 0.021 0x00
OBS: 59175.61 i NULL  7626.298 131.810 17.794 0.019 0x00
OBS: 59180.52 i NULL  7271.644 142.668 17.846 0.021 0x00
OBS: 59195.53 i NULL  7009.171 124.482 17.886 0.019 0x00
OBS: 59207.46 i NULL  6904.572 103.903 17.902 0.016 0x00
OBS: 59212.47 i NULL  7005.669 109.055 17.886 0.017 0x00
OBS: 59219.44 i NULL  7098.095 103.738 17.872 0.016 0x01
OBS: 59223.42 i NULL  6698.288 114.873 17.935 0.019 0x00
OBS: 59235.53 i NULL  6338.075 190.991 17.995 0.033 0x00
OBS: 59246.36 i NULL  6430.933 231.574 17.979 0.039 0x00
OBS: 59257.51 i NULL  6117.482 86.576 18.034 0.015 0x00
OBS: 59301.39 i NULL  5366.000 368.106 18.176 0.074 0x00
OBS: 59303.34 i NULL  5552.631 166.034 18.139 0.032 0x00
OBS: 58947.34 z NULL  -289.478 157.616 nan -0.591 0x00
OBS: 58974.31 z NULL  560.403 194.599 20.629 0.377 0x00
OBS: 58980.26 z NULL  1790.802 101.713 19.367 0.062 0x00
OBS: 58984.26 z NULL  2606.701 114.815 18.960 0.048 0x01
OBS: 59184.55 z NULL  5450.511 142.386 18.159 0.028 0x00
OBS: 59192.64 z NULL  5496.825 132.691 18.150 0.026 0x00
OBS: 59204.65 z NULL  4891.575 172.777 18.276 0.038 0x00
OBS: 59209.45 z NULL  5095.914 156.657 18.232 0.033 0x00
OBS: 59221.48 z NULL  4654.305 107.589 18.330 0.025 0x00
OBS: 59278.45 z NULL  3750.236 501.457 18.565 0.145 0x00
OBS: 59306.39 z NULL  3135.345 134.789 18.759 0.047 0x00
END:
