SURVEY:  PS1MD
SNID:  2019zre
otherID: 
IAUC:    UNKNOWN
RA:        170.5493050  deg
DECL:       9.9792840  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019zre.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0061
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.253 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 151
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.63 g NULL  118.706 38.720 22.314 0.354 0x00
OBS: 58847.60 g NULL  407.602 55.056 20.974 0.147 0x00
OBS: 58850.61 g NULL  480.571 51.934 20.796 0.117 0x00
OBS: 58866.57 g NULL  307.477 91.574 21.280 0.323 0x00
OBS: 58869.56 g NULL  151.378 50.575 22.050 0.363 0x00
OBS: 58871.56 g NULL  24.513 44.051 24.027 1.951 0x00
OBS: 58873.61 g NULL  103.695 53.439 22.461 0.560 0x00
OBS: 58879.49 g NULL  43.104 109.952 23.414 2.770 0x00
OBS: 58929.34 g NULL  -42.102 70.452 nan -1.817 0x00
OBS: 58957.38 g NULL  130.298 90.058 22.213 0.750 0x00
OBS: 58965.41 g NULL  -93.461 82.193 nan -0.955 0x00
OBS: 58968.25 g NULL  92.940 53.908 22.579 0.630 0x00
OBS: 58982.30 g NULL  -45.931 87.237 nan -2.062 0x00
OBS: 58986.29 g NULL  22.357 50.962 24.126 2.475 0x00
OBS: 58988.32 g NULL  -76.985 57.325 nan -0.808 0x00
OBS: 58991.30 g NULL  -51.051 52.079 nan -1.108 0x00
OBS: 58994.27 g NULL  -28.709 64.688 nan -2.446 0x00
OBS: 59015.27 g NULL  -15.614 56.332 nan -3.917 0x00
OBS: 59018.31 g NULL  -22.534 167.170 nan -8.055 0x00
OBS: 59023.28 g NULL  -37.743 50.523 nan -1.453 0x00
OBS: 59194.64 g NULL  54.938 52.727 23.150 1.042 0x09
OBS: 59226.57 g NULL  60.623 54.672 23.043 0.979 0x00
OBS: 59230.65 g NULL  117.067 53.051 22.329 0.492 0x00
OBS: 59253.50 g NULL  71.548 60.961 22.864 0.925 0x00
OBS: 59256.48 g NULL  2.149 47.749 26.669 24.124 0x00
OBS: 59261.45 g NULL  61.182 46.274 23.033 0.821 0x00
OBS: 59288.47 g NULL  11.618 61.818 24.837 5.777 0x01
OBS: 59296.35 g NULL  -81.754 76.236 nan -1.012 0x00
