SURVEY:  PS1MD
SNID:  2020irh
otherID: 
IAUC:    UNKNOWN
RA:        192.8611430  deg
DECL:       6.5894520  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020irh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0030
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.058 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 117
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  18.231 85.744 24.348 5.106 0x00
OBS: 58871.64 g NULL  7.460 51.116 25.318 7.439 0x00
OBS: 58874.59 g NULL  -24.031 70.945 nan -3.205 0x00
OBS: 58877.59 g NULL  30.570 83.581 23.787 2.968 0x01
OBS: 58931.45 g NULL  -52.910 74.203 nan -1.523 0x00
OBS: 58941.42 g NULL  456.175 106.607 20.852 0.254 0x00
OBS: 58956.44 g NULL  404.115 68.597 20.984 0.184 0x00
OBS: 58959.34 g NULL  477.707 48.083 20.802 0.109 0x00
OBS: 58970.31 g NULL  257.721 89.920 21.472 0.379 0x00
OBS: 58983.29 g NULL  357.326 48.789 21.117 0.148 0x00
OBS: 58986.27 g NULL  236.626 49.683 21.565 0.228 0x00
OBS: 58990.27 g NULL  247.553 55.159 21.516 0.242 0x00
OBS: 58994.27 g NULL  237.388 68.948 21.561 0.315 0x00
OBS: 58998.27 g NULL  195.755 68.721 21.771 0.381 0x00
OBS: 59015.28 g NULL  170.242 58.214 21.922 0.371 0x01
OBS: 59018.32 g NULL  219.797 70.166 21.645 0.347 0x00
OBS: 59044.27 g NULL  95.443 73.985 22.551 0.842 0x00
OBS: 59048.28 g NULL  -54.146 57.775 nan -1.159 0x00
OBS: 59204.66 g NULL  98.482 118.298 22.517 1.304 0x00
OBS: 59222.59 g NULL  8.235 70.700 25.211 9.321 0x00
OBS: 59228.63 g NULL  -10.459 66.395 nan -6.892 0x00
OBS: 59231.61 g NULL  47.134 97.263 23.317 2.240 0x00
OBS: 59256.53 g NULL  -36.468 39.330 nan -1.171 0x00
OBS: 59258.52 g NULL  33.298 96.777 23.694 3.156 0x00
OBS: 59262.57 g NULL  25.998 53.131 23.963 2.219 0x00
OBS: 59292.40 g NULL  129.296 68.940 22.221 0.579 0x00
OBS: 59295.42 g NULL  -14.882 116.640 nan -8.510 0x00
OBS: 59311.35 g NULL  -35.254 51.826 nan -1.596 0x00
OBS: 59316.43 g NULL  124.202 74.022 22.265 0.647 0x00
OBS: 59319.36 g NULL  96.611 66.038 22.537 0.742 0x00
OBS: 59338.28 g NULL  2.729 116.409 26.410 46.313 0x00
OBS: 59344.26 g NULL  58.379 54.256 23.084 1.009 0x01
OBS: 59346.28 g NULL  31.319 55.418 23.760 1.921 0x00
OBS: 59349.31 g NULL  -96.831 68.884 nan -0.772 0x01
OBS: 59351.26 g NULL  -62.229 138.647 nan -2.419 0x01
OBS: 59367.33 g NULL  -42.544 48.412 nan -1.235 0x01
